Age_Ma,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Cu_Area,Zn_Area,Ga_Area,Br_Area,Rb_Area,Sr_Area,Y_Area,Zr_Area,Nb_Area,Mo_Area,Pb_Area,Bi_Area,Ag_Area,Cd_Area,Sn_Area,Te_Area,Ba_Area,T_Area
6.764252186,2404,41826,-4214,-602,57373,12466,3189705,7127,-64,9925,90050,53917,440,771,121,3760,2284,120219,1684,6059,-1375,-1206,522,324,1333326,2575,16552,3157,23649.0,153873
6.76499033,2646,42888,-3769,-625,58704,13715,3203331,7351,247,9141,88583,52361,521,773,76,3774,2068,125341,1428,5873,-1619,-1408,351,338,1334901,3044,16452,3543,27554.0,155183
6.765728474,2407,42494,-4172,-730,58911,13832,3168472,6833,761,9730,92670,52711,445,725,99,3671,2150,123729,1666,5101,-1218,-1126,431,290,1336746,2537,16482,4417,25975.0,158236
6.766466141,2641,42642,-3590,-893,55985,14087,3010577,6995,350,9118,93366,53759,414,791,97,3514,2009,116212,1591,5046,-1301,-1041,419,207,1339384,2557,16506,3823,25245.0,159731
6.767203808,2574,41633,-3585,-1092,56666,13300,3130928,7339,580,8344,93842,51568,609,792,117,3832,1618,121086,1853,5152,-1589,-1371,586,304,1343905,3004,16431,3059,26533.0,158688
6.767941475,2134,39293,-4076,-751,54039,12617,3097264,6717,267,8883,84260,47701,459,776,60,3294,1547,116480,1341,5610,-1220,-1245,957,396,1342171,2584,16169,3077,22270.0,145021
6.768679619,2000,38368,-4286,-1277,52312,11178,3134212,6045,345,8774,79894,52454,497,805,102,3241,1585,115391,1546,5533,-1351,-1129,402,234,1347925,2371,16024,3013,21349.0,137485
6.769417286,2304,41463,-4389,-776,53946,12588,3184384,6655,135,8865,88070,52198,497,768,79,3429,1687,119752,1562,5901,-1858,-1128,269,320,1356590,2969,16257,3407,21987.0,151080
6.770154953,2416,40894,-3322,-825,51473,12598,2953264,6250,437,7649,85964,50859,443,685,64,3202,1525,112963,1942,4906,-1993,-1097,450,315,1354027,2443,16247,2676,20273.0,148122
6.770893097,2123,40474,-3665,-1025,50773,13007,2924257,6247,-1,7878,85818,52386,457,667,101,3255,1702,112413,2099,5743,-1638,-1260,300,188,1360675,2777,16140,3737,20138.0,147669
