Age_Ma,C. wuellerstorfi13C,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Cu_Area,Zn_Area,Ga_Area,Br_Area,Rb_Area,Sr_Area,Y_Area,Zr_Area,Nb_Area,Mo_Area,Pb_Area,Bi_Area,Ag_Area,Cd_Area,Sn_Area,Te_Area,Ba_Area,T_Area
7.479,0.855,2787,48074,-3241,-672,43900,12616,2782061,7140,428,5237,103706,51347,523,851,146,2353,2056,101212,2182,5258,-230,-1562,454,257,1348242,2742,16731,3735,34665,174323
7.484,0.847,1878,35905,-3813,-944,43657,7811,2791660,5105,1087,5530,60822,54102,512,656,88,2671,1378,96021,1340,4236,-1855,-1300,451,296,1337506,1846,15677,2887,21670,111521
7.489,0.851,1959,38726,-5068,-1486,52195,8884,3391456,5717,691,5921,66826,50981,541,670,84,3029,1473,109869,1450,4567,-2324,-1912,578,275,1319143,2208,15993,2756,18859,122112
7.493,0.935,2256,42195,-4543,-1388,49790,9069,3286072,5702,417,6773,72499,52503,502,925,140,3151,1352,107600,1420,5308,-1259,-1139,336,298,1308784,2957,14767,3659,20881,131721
7.498,0.775,1471,33645,-3145,-1167,41290,6524,2321497,5019,394,5564,68739,46979,398,595,48,2580,1212,82628,1391,4023,-1463,-818,418,402,1291278,2616,14980,3177,21683,115398
7.5,0.889,2534,42909,-3244,-460,56075,12603,2950605,7260,433,6639,90388,46905,538,857,109,3252,1927,110652,1708,4652,-1387,-1243,428,326,1343522,2686,16114,4288,27938,155694
7.505,0.754,2031,40869,-3624,-866,54897,11325,2984206,6026,173,6841,86061,54296,486,721,37,3422,2182,104552,1567,5049,-1231,-1313,538,295,1326835,2530,16014,3167,24305,146312
7.51,0.811,2072,37206,-4614,-741,52436,8751,3358002,5088,283,7216,61761,54629,410,608,65,2728,1220,103873,1020,4959,-1622,-1544,288,278,1348611,2869,15181,3412,19161,114878
7.514,0.866,2210,37777,-3732,-674,52022,10478,3104741,5168,688,6623,67246,53574,555,682,31,2712,1583,101497,1259,4731,-1359,-1019,491,231,1356484,3477,15113,3375,22209,122879
7.519,0.98,2398,41100,-3610,-923,52621,11962,2990736,6157,443,5751,81367,51109,516,695,169,3020,1449,107178,1905,4968,-862,-1159,326,154,1351883,2684,16061,2888,25495,142984
7.524,0.871,2477,46195,-3460,-821,48346,12683,2906503,6401,866,4554,79426,52709,1944,1219,114,3186,1571,107763,1720,4778,-1456,47,424,258,1335211,2719,15468,3919,31244,147182
7.528,0.955,2084,43172,-3052,-443,48805,13001,2790686,6348,865,4730,89560,53450,560,791,99,3392,2097,106587,1180,4353,-1810,-585,282,340,1307074,1924,14806,3319,27442,154165
7.533,0.976,1666,37764,-4426,-1214,51812,9190,3269494,4613,19,6372,64979,53118,458,643,125,2899,1246,108216,1525,4629,-1508,-1046,357,220,1322829,2274,14715,2590,18981,118212
7.538,1.122,1769,42272,-4860,-849,54494,9362,3369443,6004,40,6411,68123,52344,373,641,175,3126,1820,110485,1479,4761,-1028,-1109,259,310,1355556,3025,16450,3904,22261,127530
7.543,1.063,2386,45057,-4101,-718,54695,12351,3110418,6798,226,6279,90161,51516,503,791,59,3411,1646,111306,1695,4983,-1722,-1344,434,321,1364565,2671,16594,4100,25254,156753
7.547,1.028,2543,49288,-3725,-872,53528,11425,3046540,6932,405,5781,80523,54439,758,1057,186,3281,1843,110414,1703,5411,-1794,-1105,558,349,1360291,3126,16152,2839,29752,150711
7.552,1.097,2523,46179,-3771,-1094,52148,12109,2987890,6229,672,5450,78968,53527,529,720,155,3152,1428,107269,1437,4848,-2150,-1765,352,445,1319232,2622,15761,3678,24723,146008
7.557,1.085,1988,38838,-4213,-1136,52003,9696,3057819,5218,356,5428,66525,54360,454,723,102,3313,1362,106262,1379,4493,-1833,-1057,270,249,1295405,2041,15343,2756,22132,122265
7.561,0.912,2182,43568,-4947,-1207,54641,9608,3261554,5556,263,6159,74154,52809,484,798,170,3355,1539,108387,1674,5184,-1643,-1953,330,416,1341558,2687,17092,3836,22337,135068
7.566,1.107,2542,46184,-4456,-1192,54755,11680,3253596,6250,22,6144,84555,50975,546,762,138,3370,1688,110400,1678,5325,-2496,-1586,479,271,1348237,2603,17332,3019,24371,151211
7.571,0.855,2371,48521,-4861,-1274,55977,12892,3156438,6285,56,5868,77152,51569,523,851,97,3352,1985,108545,1968,5003,-1169,-1070,182,182,1353055,2952,16351,3631,25109,147221
7.577,0.86,2728,59311,-3362,-948,49510,23279,2579742,6991,1311,5682,78349,49792,496,760,116,3354,2569,96893,1762,4895,-2150,-2020,524,292,1337686,2319,16684,3090,22334,170658
7.582,0.994,2011,47283,-4289,-1114,50633,14866,3009576,5556,708,6329,69236,48677,578,735,87,2921,2679,98812,1636,5550,-2467,-1934,549,335,1315621,2271,16262,3301,22517,138952
7.587,0.957,1847,37934,-5400,-1267,56445,7472,3361697,5442,683,7310,57573,47530,471,587,172,2986,1523,106884,1401,4215,-1451,-1099,246,269,1353796,2237,15595,2819,23012,110268
7.594,1.046,2299,45934,-5193,-226,58622,12837,3569245,6324,1169,6564,79972,48527,658,802,122,3432,1629,120798,1104,5700,-2610,-2184,470,200,1831617,2265,18035,2949,20288,147366
7.6,1.196,2500,45417,-4042,1,55028,11507,3295802,6220,1584,6896,79165,50404,717,762,64,3507,1764,113525,1387,4331,-3662,-2751,399,391,1850305,2242,18642,2982,22003,144809
7.605,1.098,3201,50442,-5234,-745,58562,12726,3576406,7391,392,6862,91566,50142,743,859,105,3915,1817,121755,1871,4554,-2494,-1680,387,260,1854794,1927,18953,3172,22770,165326
7.61,1.174,2691,48294,-4831,-481,57025,12300,3575554,6299,991,7177,82345,51374,710,819,143,3323,1920,115146,1629,4772,-3245,-2195,399,333,1859290,2111,18429,3073,20416,151929
7.615,1.172,2736,47231,-4535,-534,51638,12412,3334604,5712,912,6526,80779,50050,566,751,200,3143,1524,105654,1616,4656,-2027,-2365,460,355,1851865,2170,18781,2138,20116,148870
7.621,1.136,2577,51781,-4454,-737,55186,12354,3619867,6972,930,7260,89263,49998,434,848,159,3293,1211,113238,1360,5297,-1853,-2716,372,416,1843465,2664,18641,2781,19351,162947
7.631,1.012,2628,49759,-4292,-149,60875,12591,3398681,7031,667,7569,84555,48682,574,868,72,3875,1630,112197,1470,5280,-2140,-1865,563,172,1851269,2095,18298,2863,20979,156564
7.636,1.0,2856,49197,-5150,-684,54415,11083,3525628,5957,423,7142,83970,49457,383,862,94,3435,1966,112924,1580,5454,-1609,-2700,413,286,1854681,2562,18752,2194,17679,153063
7.642,0.997,2621,48382,-5050,-652,54005,10938,3435720,6087,950,6867,77101,48196,486,883,102,3513,1608,109459,1039,5078,-2071,-1917,414,389,1851612,1998,17208,2457,18398,145129
7.647,1.138,2995,51843,-4476,-602,55356,13135,3393978,7793,714,6310,88926,46324,554,841,120,3359,1909,113164,1822,4719,-2458,-2328,460,273,1843776,2827,17600,2414,20001,164692
7.652,1.059,3108,52313,-4538,-511,52106,13722,3243720,7021,1045,6053,89545,45531,1021,1139,124,3418,1917,110002,1603,4666,-3192,-2163,757,335,1824847,2009,18103,2762,20253,165709
7.657,1.082,2897,49028,-4351,-479,53139,12145,3243304,6681,1098,6435,81744,46820,460,816,69,3373,1353,108101,1681,4443,-2445,-2682,422,362,1828120,1753,18019,2368,18562,152495
7.663,1.175,2180,44922,-4686,-724,55336,12139,3177999,6086,1129,5823,83039,45591,573,840,82,3164,2103,104747,1568,5079,-2138,-1741,469,190,1844463,2194,18070,2164,16611,148366
7.668,1.146,2387,48327,-4396,-654,52436,10327,3045280,5817,1249,5870,81623,46693,1040,1037,133,3220,1943,104007,1944,4144,-2323,-1189,449,141,1841575,2222,18394,3147,18296,148481
7.673,0.881,2674,50323,-4536,-566,57923,12476,3207518,6779,509,6209,97568,46109,486,837,150,3956,2183,111597,1652,4744,-2138,-2132,606,293,1840830,1696,18609,2800,19003,169820
7.678,1.022,3003,56302,-5213,-1281,55703,13926,3367733,7919,1071,6589,106204,47773,549,972,137,3446,2195,120727,1616,5299,-2137,-2589,461,219,1832229,2894,18232,2902,21092,187354
